SA_Cover_thickness_50m_GDA94_NoData_dx,SA_Cover_thickness_50m_GDA94_NoData_dy,dem-9s_GDA94_SA_NoData_dx,dem-9s_GDA94_SA_NoData_dy,SA_CoverThickness_400m_GDA94_NoData_dx,SA_CoverThickness_400m_GDA94_NoData_dy
104.05615,155.533,-1.1092895,-2.41075,-1.3897822,-2.689426
-41.000877,209.4913,1.1435616,-0.23574981,-0.35157815,-2.3153083
6.416504,-8.772364,-0.14825058,0.07168045,-1.726249,1.8985863
-38.678223,84.608986,-2.9960098,0.87032473,0.11527576,-1.0515617
-12.72041,51.67637,3.748436,0.6093277,-0.12759933,-0.051588822
8.815527,62.66328,-0.5498673,0.5656601,-0.036996078,-0.28536493
0.13964844,67.36269,0.5411499,-4.8839355,0.8350819,-1.1239069
-10.66416,71.55937,1.7896576,0.2658905,1.8174015,-0.33088523
13.622266,38.362404,1.670604,-3.8354554,1.6884048,0.08151517
-17.19043,38.460743,-2.0278823,-2.9166932,-0.110906504,-0.05944719
3.5378907,59.857616,4.0978594,-0.9764267,-0.48903927,-0.25776136
-3.0333009,64.566505,4.7483797,0.51201326,0.7393462,4.4879913
11.309278,72.7375,-1.4144146,0.63797987,-3.9959664,4.074187
8.47168,71.41797,-3.1021733,1.4241912,2.6905634,-3.8173
,41.23633,0.7101015,-0.34860533,5.6571984,-12.065441
