X,Y
940000,6550000
960000,6550000
980000,6550000
1000000,6550000
1020000,6550000
1040000,6550000
1060000,6550000
-60000,6570000
-40000,6570000
-20000,6570000
0,6570000
20000,6570000
40000,6570000
60000,6570000
80000,6570000
100000,6570000
120000,6570000
140000,6570000
160000,6570000
180000,6570000
200000,6570000
220000,6570000
240000,6570000
260000,6570000
280000,6570000
300000,6570000
320000,6570000
340000,6570000
360000,6570000
380000,6570000
400000,6570000
420000,6570000
440000,6570000
460000,6570000
480000,6570000
500000,6570000
520000,6570000
540000,6570000
560000,6570000
580000,6570000
600000,6570000
620000,6570000
640000,6570000
660000,6570000
680000,6570000
700000,6570000
720000,6570000
740000,6570000
760000,6570000
780000,6570000
800000,6570000
820000,6570000
840000,6570000
860000,6570000
880000,6570000
900000,6570000
920000,6570000
940000,6570000
960000,6570000
980000,6570000
1000000,6570000
1020000,6570000
1040000,6570000
1060000,6570000
-60000,6590000
-40000,6590000
-20000,6590000
0,6590000
20000,6590000
40000,6590000
60000,6590000
80000,6590000
100000,6590000
120000,6590000
140000,6590000
160000,6590000
180000,6590000
200000,6590000
220000,6590000
240000,6590000
260000,6590000
280000,6590000
300000,6590000
320000,6590000
340000,6590000
360000,6590000
380000,6590000
400000,6590000
420000,6590000
440000,6590000
460000,6590000
480000,6590000
500000,6590000
520000,6590000
540000,6590000
560000,6590000
580000,6590000
600000,6590000
620000,6590000
640000,6590000
660000,6590000
680000,6590000
700000,6590000
720000,6590000
740000,6590000
760000,6590000
780000,6590000
800000,6590000
820000,6590000
840000,6590000
860000,6590000
880000,6590000
900000,6590000
920000,6590000
940000,6590000
960000,6590000
980000,6590000
1000000,6590000
1020000,6590000
1040000,6590000
1060000,6590000
-60000,6610000
-40000,6610000
-20000,6610000
0,6610000
20000,6610000
40000,6610000
60000,6610000
80000,6610000
100000,6610000
120000,6610000
140000,6610000
160000,6610000
180000,6610000
200000,6610000
220000,6610000
240000,6610000
260000,6610000
280000,6610000
300000,6610000
320000,6610000
340000,6610000
360000,6610000
380000,6610000
400000,6610000
420000,6610000
440000,6610000
460000,6610000
480000,6610000
500000,6610000
520000,6610000
540000,6610000
560000,6610000
580000,6610000
600000,6610000
620000,6610000
640000,6610000
660000,6610000
680000,6610000
700000,6610000
720000,6610000
740000,6610000
760000,6610000
780000,6610000
800000,6610000
820000,6610000
840000,6610000
860000,6610000
880000,6610000
900000,6610000
920000,6610000
940000,6610000
960000,6610000
980000,6610000
1000000,6610000
1020000,6610000
1040000,6610000
1060000,6610000
-60000,6630000
-40000,6630000
-20000,6630000
0,6630000
20000,6630000
40000,6630000
60000,6630000
80000,6630000
100000,6630000
120000,6630000
140000,6630000
160000,6630000
180000,6630000
200000,6630000
220000,6630000
240000,6630000
260000,6630000
280000,6630000
300000,6630000
320000,6630000
340000,6630000
360000,6630000
380000,6630000
400000,6630000
420000,6630000
440000,6630000
460000,6630000
480000,6630000
500000,6630000
520000,6630000
540000,6630000
560000,6630000
580000,6630000
600000,6630000
620000,6630000
640000,6630000
660000,6630000
680000,6630000
700000,6630000
720000,6630000
740000,6630000
760000,6630000
780000,6630000
800000,6630000
820000,6630000
840000,6630000
860000,6630000
880000,6630000
900000,6630000
920000,6630000
940000,6630000
960000,6630000
980000,6630000
1000000,6630000
1020000,6630000
1040000,6630000
1060000,6630000
-60000,6650000
-40000,6650000
-20000,6650000
0,6650000
20000,6650000
40000,6650000
60000,6650000
80000,6650000
100000,6650000
120000,6650000
140000,6650000
160000,6650000
180000,6650000
200000,6650000
220000,6650000
240000,6650000
260000,6650000
280000,6650000
300000,6650000
320000,6650000
340000,6650000
360000,6650000
380000,6650000
400000,6650000
420000,6650000
440000,6650000
460000,6650000
480000,6650000
500000,6650000
520000,6650000
540000,6650000
560000,6650000
580000,6650000
600000,6650000
620000,6650000
640000,6650000
660000,6650000
680000,6650000
700000,6650000
720000,6650000
740000,6650000
760000,6650000
780000,6650000
800000,6650000
820000,6650000
840000,6650000
860000,6650000
880000,6650000
900000,6650000
920000,6650000
940000,6650000
960000,6650000
980000,6650000
1000000,6650000
1020000,6650000
1040000,6650000
1060000,6650000
-60000,6670000
-40000,6670000
-20000,6670000
0,6670000
20000,6670000
40000,6670000
60000,6670000
80000,6670000
100000,6670000
120000,6670000
140000,6670000
160000,6670000
180000,6670000
200000,6670000
220000,6670000
240000,6670000
260000,6670000
280000,6670000
300000,6670000
320000,6670000
340000,6670000
